Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500730,NOCIL Ltd,NOCIL,NOCIL LTD.,Active,A ,10.00,INE163A01018,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500770,Tata Chemicals Ltd,TATACHEM,TATA CHEMICALS LTD.,Active,A ,10.00,INE092A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500790,Nestle India Ltd.,NESTLEIND,NESTLE INDIA LTD.,Active,A ,1.00,INE239A01024,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,Tata Consumer Products Ltd,Active,A ,1.00,INE192A01025,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
500820,Asian Paints Ltd.,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,1.00,INE021A01026,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
500825,Britannia Industries Ltd.,BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,A ,1.00,INE216A01030,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
500830,Colgate-Palmolive (India) Ltd.,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Active,A ,1.00,INE259A01022,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
500840,EIH Ltd,EIHOTEL,EIH LTD.,Active,A ,2.00,INE230A01023,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500850,Indian Hotels Co. Ltd,INDHOTEL,INDIAN HOTELS CO.LTD.,Active,A ,1.00,INE053A01029,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500870,Castrol India Ltd,CASTROLIND,CASTROL INDIA LTD.,Active,A ,5.00,INE172A01027,Lubricants,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
500875,ITC Ltd,ITC,ITC LTD.,Active,A ,1.00,INE154A01025,Diversified FMCG,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
500877,Apollo Tyres Ltd,APOLLOTYRE,APOLLO TYRES LTD.,Active,A ,1.00,INE438A01022,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
500878,Ceat Ltd.,CEATLTD,CEAT LTD.,Active,A ,10.00,INE482A01020,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
500940,Finolex Industries Ltd.,FINPIPE,FINOLEX INDUSTRIES LTD.,Active,A ,2.00,INE183A01024,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
501301,Tata Investment Corporation Ltd.,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,A ,10.00,INE672A01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
501425,Bombay Burmah Trading Corpn. Ltd.,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,Active,A ,2.00,INE050A01025,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
501455,Greaves Cotton Ltd.,GREAVESCOT,GREAVES COTTON LTD.,Active,A ,2.00,INE224A01026,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
502219,BOROSIL RENEWABLES LIMITED,BORORENEW,Borosil Renewables Ltd,Active,A ,1.00,INE666D01022,Glass - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Glass - Industrial
502355,Balkrishna Industries Ltd.,BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,Active,A ,2.00,INE787D01026,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
502937,Kesoram Industries Ltd,KESORAMIND,KESORAM INDUSTRIES LTD.,Active,A ,10.00,INE087A01019,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
502986,Vardhman Textiles Limted,VTL,VARDHMAN TEXTILES LTD.,Active,A ,2.00,INE825A01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
503100,The Phoenix Mills Ltd.,PHOENIXLTD,The Phoenix Mills Ltd,Active,A ,2.00,INE211B01039,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
503310,Swan Energy Ltd.,SWANENERGY,SWAN ENERGY LTD.,Active,A ,1.00,INE665A01038,Diversified,Equity,Diversified,Diversified,Diversified,Diversified
503806,SRF Ltd.,SRF,SRF LTD.,Active,A ,10.00,INE647A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
503960,Bharat Bijlee Ltd.,BBL,BHARAT BIJLEE LTD.-$,Active,A ,5.00,INE464A01036,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
504067,Zensar Technologies Ltd.,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.00,INE520A01027,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1.00,INE149A01033,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
505200,Eicher Motors Ltd.,EICHERMOT,EICHER MOTORS LTD.,Active,A ,1.00,INE066A01021,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
505255,GMM Pfaudler Ltd.,GMMPFAUDLR,GMM PFAUDLER LTD.,Active,A ,2.00,INE541A01023,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
505283,Kirloskar Pneumatic Co.Ltd.,KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.,Active,A ,2.00,INE811A01020,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
505355,Nesco Ltd,NESCO,NESCO LTD.,Active,A ,2.00,INE317F01035,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE,Westlife Foodworld Ltd,Active,A ,2.00,INE274F01020,Restaurants,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
505537,Zee Entertainment Enterprises Ltd.,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,Active,A ,1.00,INE256A01028,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
505700,Elecon Engineering Co.Ltd.,ELECON,ELECON ENGINEERING CO.LTD.,Active,A ,2.00,INE205B01023,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
505714,Gabriel India Ltd.,GABRIEL,GABRIEL INDIA LTD.-$,Active,A ,1.00,INE524A01029,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
505790,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,2.00,INE513A01022,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
