Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543918,GHCL Textiles Limited,GHCLTEXTIL,GHCL Textiles Ltd,Active,B ,2.00,INE0PA801013,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
543923,IKIO Lighting Limited,IKIO,IKIO Lighting Ltd,Active,B ,10.00,INE0LOJ01019,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
543929,HMA Agro Industries Limited,HMAAGRO,HMA Agro Industries Ltd,Active,B ,1.00,INE0ECP01024,Meat Products including Poultry,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry
543930,URAVI T AND WEDGE LAMPS LIMITED,URAVI,Uravi T And Wedge Lamps Ltd,Active,B ,10.00,INE568Z01015,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543932,IDEAFORGE TECHNOLOGY LIMITED,IDEAFORGE,Ideaforge Technology Ltd,Active,B ,10.00,INE349Y01013,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
543933,Cyient DLM Limited,CYIENTDLM,Cyient DLM Ltd,Active,B ,10.00,INE055S01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
543935,DSP Mutual Fund,ITETFADD,DSP Nifty IT ETF,Active,B ,10.00,INF740KA1SX1, ,Equity,-,-,-,-
543936,Senco Gold Limited,SENCO,Senco Gold Ltd,Active,B ,10.00,INE602W01019,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
543940,Jio Financial Services Limited,JIOFIN,Jio Financial Services Ltd,Active,B ,10.00,INE758E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
543942,UTKARSH SMALL FINANCE BANK LIMITED,UTKARSHBNK,Utkarsh Small Finance Bank Ltd,Active,B ,10.00,INE735W01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank
543944,Mirae Asset Mutual Fund,BANKETF,Mirae Asset Nifty Bank ETF,Active,B ,400.00,INF769K01KR3, ,Equity,-,-,-,-
543945,NETWEB TECHNOLOGIES INDIA LIMITED,NETWEB,Netweb Technologies India Ltd,Active,B ,2.00,INE0NT901020,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
543948,DSP Mutual Fund,PSUBANKADD,DSP Nifty PSU Bank ETF,Active,B ,10.00,INF740KA1SY9, ,Equity,-,-,-,-
543949,DSP Mutual Fund,PVTBANKADD,DSP Private Bank ETF,Active,B ,10.00,INF740KA1TA7, ,Equity,-,-,-,-
543950,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,Active,B ,10.00,INE0JO301016,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
